% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 95.50 1484.833843       27004     54985      7532 futex
  3.02   46.941071         202    231338        25 recvfrom
  0.86   13.393552         231     57835           sendto
  0.47    7.352646         293     25066           epoll_wait
  0.05    0.783092        2567       305           munmap
  0.04    0.568028        4437       128           madvise
  0.02    0.333397         861       387           sigaltstack
  0.02    0.280911         547       513           rt_sigprocmask
  0.01    0.166368         222       747           write
  0.00    0.019252          47       402           mmap
  0.00    0.016064          41       390           mprotect
  0.00    0.010271          72       142           getrandom
  0.00    0.009279          72       128           clone3
  0.00    0.008076          63       128           prctl
  0.00    0.008025          62       129           rseq
  0.00    0.007097          55       129           set_robust_list
  0.00    0.006145          47       129           gettid
  0.00    0.006111          47       130           sched_getaffinity
  0.00    0.001039          49        21         3 openat
  0.00    0.000832          64        13           fstat
  0.00    0.000731          45        16         8 accept4
  0.00    0.000685          22        31           close
  0.00    0.000560         140         4           fchmod
  0.00    0.000386          48         8         2 statx
  0.00    0.000354          59         6           geteuid
  0.00    0.000270         270         1           getsockname
  0.00    0.000227         113         2           getdents64
  0.00    0.000221         110         2           mkdirat
  0.00    0.000219         109         2           fchmodat
  0.00    0.000213          26         8           rt_sigaction
  0.00    0.000205          10        20           epoll_ctl
  0.00    0.000184         184         1           fsync
  0.00    0.000138         138         1           bind
  0.00    0.000118         118         1           renameat
  0.00    0.000084          42         2           getpid
  0.00    0.000080          80         1           socket
  0.00    0.000058          58         1           listen
  0.00    0.000048          48         1           setsockopt
  0.00    0.000039          39         1           flock
  0.00    0.000000           0        17           read
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         6           lseek
  0.00    0.000000           0         6           brk
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0         5           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         8           shutdown
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           fcntl
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           unlinkat
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00 1554.749919        4165    373211      7572 total
