% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 95.63 1040.116905        5854    177670     35164 futex
  3.07   33.394127         131    254889           sendto
  0.88    9.594592         130     73505       772 recvfrom
  0.21    2.298926         130     17576           epoll_wait
  0.08    0.862372        2790       309           munmap
  0.07    0.720725        5501       131           madvise
  0.03    0.350841         129      2699           write
  0.02    0.180704         352       513           rt_sigprocmask
  0.01    0.112966         291       387           sigaltstack
  0.00    0.022577          45       492           mprotect
  0.00    0.007876          61       128           clone3
  0.00    0.007575          18       402           mmap
  0.00    0.003729          26       142           getrandom
  0.00    0.002496          19       130           sched_getaffinity
  0.00    0.002111          95        22         3 openat
  0.00    0.001872          14       129           gettid
  0.00    0.001855          14       128           prctl
  0.00    0.001672          12       129           set_robust_list
  0.00    0.001639          91        18           read
  0.00    0.001632          12       129           rseq
  0.00    0.001458          45        32           close
  0.00    0.000885         110         8           shutdown
  0.00    0.000772          38        20           epoll_ctl
  0.00    0.000372          23        16         8 accept4
  0.00    0.000174          13        13           fstat
  0.00    0.000157          26         6           geteuid
  0.00    0.000151          37         4           fchmod
  0.00    0.000140          70         2           mkdirat
  0.00    0.000132         132         1           bind
  0.00    0.000119         119         1           renameat
  0.00    0.000098          14         7         1 statx
  0.00    0.000096          48         2           fchmodat
  0.00    0.000081          81         1           listen
  0.00    0.000070          70         1           unlinkat
  0.00    0.000063           7         9           setsockopt
  0.00    0.000061          61         1           socket
  0.00    0.000056          28         2           getpid
  0.00    0.000051          25         2           getdents64
  0.00    0.000032          32         1           flock
  0.00    0.000029          29         1           getsockname
  0.00    0.000027          27         1           fsync
  0.00    0.000016          16         1           rt_sigreturn
  0.00    0.000010           1         8           rt_sigaction
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         6           lseek
  0.00    0.000000           0         6           brk
  0.00    0.000000           0         5           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           fcntl
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00 1087.692242        2053    529698     35950 total
